transaction_id,customer_id,amount,merchant_category,country,transaction_hour,device_type,previous_transaction_minutes,transactions_last_24h,customer_age,is_fraud
TXN000064,CUST01391,37.0,grocery,ET,0,mobile,224.57,4,57,0
TXN000065,CUST00956,182.11,grocery,US,19,mobile,61.48,4,68,0
TXN000066,CUST01479,10.93,grocery,AE,22,desktop,121.7,2,24,0
TXN000067,CUST01452,87.89,restaurant,IN,17,mobile,64.26,6,52,0
TXN000068,CUST00509,134.22,travel,US,23,desktop,15.8,1,72,0
TXN000069,CUST00776,17.66,retail,US,12,mobile,263.44,5,57,0
TXN000070,CUST00035,25.09,travel,US,7,desktop,317.56,2,45,0
TXN000071,CUST00206,11.75,fuel,FR,13,mobile,47.51,0,32,0
TXN000072,CUST01105,27.02,fuel,US,2,desktop,49.31,1,55,0
TXN000073,CUST01412,31.93,restaurant,US,3,desktop,101.17,4,58,0
TXN000074,CUST01026,64.05,grocery,US,10,desktop,300.33,2,66,0
TXN000075,CUST01022,98.51,online,US,6,mobile,14.47,2,18,0
TXN000076,CUST01414,15.67,fuel,US,20,mobile,297.71,4,67,0
TXN000077,CUST00566,4.63,retail,AE,4,mobile,460.86,1,31,1
TXN000078,CUST01130,32.42,electronics,AE,1,mobile,148.39,2,64,1
TXN000079,CUST00703,44.41,retail,US,5,mobile,11.21,4,69,0
TXN000080,CUST00402,42.5,electronics,CA,19,desktop,56.54,2,30,0
TXN000081,CUST00730,23.89,fuel,GB,4,desktop,21.26,3,39,0
TXN000082,CUST00162,37.52,online,FR,14,mobile,54.02,3,74,0
TXN000083,CUST00202,150.72,grocery,US,10,desktop,300.63,4,38,0
TXN000084,CUST00996,48.51,grocery,US,4,mobile,10.31,3,58,1
TXN000085,CUST00270,22.8,grocery,GB,17,mobile,60.09,3,54,0
TXN000086,CUST00816,20.08,electronics,DE,7,desktop,130.97,2,35,0
TXN000087,CUST01295,27.94,fuel,US,10,desktop,372.92,3,58,0
TXN000088,CUST00456,170.16,grocery,US,16,desktop,51.78,4,26,0
TXN000089,CUST01486,27.57,online,US,13,mobile,271.18,3,56,0
TXN000090,CUST01276,32.47,restaurant,US,1,mobile,157.69,3,48,0
TXN000091,CUST01017,20.44,entertainment,US,6,tablet,203.07,2,53,0
TXN000092,CUST00296,99.38,entertainment,US,22,tablet,356.19,4,22,0
TXN000093,CUST00720,235.06,fuel,US,17,mobile,4.82,4,48,0
TXN000094,CUST00338,51.97,online,AE,0,desktop,135.8,5,18,0
TXN000095,CUST00879,35.97,restaurant,US,14,mobile,247.54,3,39,0
TXN000096,CUST01077,34.36,entertainment,CA,0,mobile,388.69,4,74,0
TXN000097,CUST00792,3.05,restaurant,CA,16,desktop,25.63,2,32,0
TXN000098,CUST00217,69.77,restaurant,US,21,mobile,75.19,0,43,0
TXN000099,CUST00764,37.87,restaurant,US,6,desktop,14.73,2,46,0
TXN000100,CUST00188,50.82,fuel,ET,15,desktop,324.25,3,71,0
TXN000101,CUST00380,16.26,fuel,US,1,desktop,350.55,2,58,0
TXN000102,CUST00493,22.55,online,NG,14,mobile,118.95,3,44,0
TXN000103,CUST01065,21.95,electronics,NG,21,desktop,3.78,8,51,1
TXN000104,CUST01181,91.98,grocery,GB,19,tablet,19.41,4,38,0
TXN000105,CUST00015,22.67,retail,FR,10,mobile,176.24,1,29,0
TXN000106,CUST00065,265.78,travel,CA,23,mobile,729.43,3,52,0
TXN000107,CUST00521,50.95,electronics,US,23,tablet,328.59,5,72,0
TXN000108,CUST01368,9.25,online,IN,1,mobile,287.84,4,51,0
TXN000109,CUST01153,29.12,restaurant,US,10,mobile,97.42,8,50,0
TXN000110,CUST00648,17.26,grocery,US,20,mobile,758.51,1,59,0
TXN000111,CUST01496,3.69,electronics,US,15,mobile,313.71,2,40,0
TXN000112,CUST01087,163.94,restaurant,CA,1,mobile,73.61,3,25,0
TXN000113,CUST01163,66.9,restaurant,US,18,mobile,248.45,4,55,0
TXN000114,CUST00593,56.44,retail,NG,15,desktop,101.98,2,36,0
TXN000115,CUST00392,39.07,online,US,7,desktop,194.43,3,75,0
TXN000116,CUST00419,8.31,travel,AE,20,desktop,631.5,3,68,0
TXN000117,CUST00289,20.42,fuel,US,19,mobile,50.93,2,52,0
TXN000118,CUST00379,76.84,retail,US,4,desktop,285.26,3,44,0
TXN000119,CUST00231,11.57,grocery,US,7,tablet,160.65,1,70,0
TXN000120,CUST01018,2.63,entertainment,US,13,mobile,539.13,0,75,0
TXN000121,CUST00041,26.39,online,US,13,mobile,25.99,2,47,0
TXN000122,CUST01052,28.74,grocery,IN,22,mobile,228.95,2,62,0
TXN000123,CUST00135,37.92,restaurant,US,21,mobile,6.81,5,37,0
TXN000124,CUST00201,68.62,travel,GB,17,desktop,50.96,2,45,0
TXN000125,CUST00780,62.65,fuel,US,4,mobile,69.65,6,27,0
TXN000126,CUST00930,42.9,restaurant,US,9,mobile,101.9,1,59,0
TXN000127,CUST01057,109.46,online,US,14,mobile,604.98,3,42,0
TXN000128,CUST01072,7.25,fuel,US,12,desktop,12.6,4,31,0
TXN000129,CUST00503,54.85,travel,NG,8,mobile,33.32,3,18,0
TXN000130,CUST00407,61.96,retail,FR,8,desktop,40.85,2,47,0
TXN000131,CUST00805,9.59,retail,US,18,tablet,99.3,0,30,0
TXN000132,CUST00099,7.37,travel,GB,8,mobile,11.27,3,42,0
TXN000133,CUST00684,15.71,retail,US,4,mobile,605.6,2,29,0
TXN000134,CUST00726,17.09,grocery,DE,5,mobile,147.72,3,41,0
TXN000135,CUST00961,70.35,grocery,AE,22,desktop,302.07,2,23,0
TXN000136,CUST00613,17.91,electronics,AE,9,mobile,266.51,1,26,0
TXN000137,CUST01486,14.06,online,US,9,desktop,194.62,3,55,0
TXN000138,CUST00643,17.96,online,US,5,mobile,422.58,2,40,0
TXN000139,CUST01029,101.36,travel,US,20,mobile,418.81,2,69,0
TXN000140,CUST01242,33.55,grocery,IN,0,mobile,24.61,5,23,0
TXN000141,CUST00503,27.68,grocery,IN,19,mobile,417.97,4,62,0
TXN000142,CUST00767,29.67,retail,US,12,desktop,133.58,3,52,0
TXN000143,CUST00398,120.55,retail,FR,7,mobile,56.17,4,45,0
TXN000144,CUST00871,15.66,fuel,IN,23,desktop,168.8,2,22,0
TXN000145,CUST00795,123.41,fuel,US,12,mobile,59.36,3,59,0
TXN000146,CUST00393,40.87,online,AE,5,desktop,117.36,2,37,1
TXN000147,CUST00207,28.21,restaurant,US,18,mobile,305.14,0,33,1
TXN000148,CUST01039,403.79,electronics,US,11,mobile,5.89,0,37,0
TXN000149,CUST00892,11.52,fuel,US,14,desktop,36.4,4,67,0
TXN000150,CUST01485,23.25,online,US,7,mobile,564.64,1,39,0
TXN000151,CUST00864,9.66,grocery,AE,22,mobile,106.01,2,68,0
TXN000152,CUST00743,85.84,retail,US,10,mobile,65.06,1,40,0
TXN000153,CUST01265,179.32,entertainment,US,8,mobile,462.17,3,74,0
TXN000154,CUST00564,175.9,restaurant,US,18,desktop,435.87,3,29,0
TXN000155,CUST01021,112.61,online,CA,10,tablet,8.15,2,64,1
TXN000156,CUST00096,27.18,retail,CA,5,mobile,81.03,6,50,0
TXN000157,CUST00485,22.98,grocery,CA,14,tablet,439.16,5,71,0
TXN000158,CUST01431,6.23,travel,US,16,desktop,35.67,2,56,0
TXN000159,CUST00231,253.63,travel,FR,11,mobile,155.39,5,74,0
TXN000160,CUST00749,52.93,electronics,NG,23,mobile,69.63,2,45,0
TXN000161,CUST01195,20.25,entertainment,US,1,mobile,240.11,5,21,1
TXN000162,CUST00541,124.97,electronics,DE,20,mobile,31.01,7,64,0
TXN000163,CUST01060,12.52,grocery,NG,21,mobile,163.16,5,65,0
TXN000164,CUST00525,49.73,grocery,GB,3,mobile,0.0,4,56,1
TXN000165,CUST01184,27.86,grocery,GB,2,mobile,52.4,3,25,0
TXN000166,CUST01267,62.72,electronics,DE,1,desktop,31.85,3,71,0
TXN000167,CUST01110,31.08,fuel,US,18,mobile,42.39,2,38,0
TXN000168,CUST00578,7.76,restaurant,CA,4,desktop,354.45,1,65,0
TXN000169,CUST00682,35.72,online,AE,16,tablet,443.29,3,67,0
TXN000170,CUST00557,94.52,fuel,US,15,desktop,253.19,3,66,0
TXN000171,CUST01013,32.16,restaurant,NG,15,mobile,160.53,3,29,0
TXN000172,CUST00646,71.89,online,CA,11,mobile,47.25,1,52,1
TXN000173,CUST00796,11.64,fuel,US,3,mobile,57.82,2,33,0
TXN000174,CUST01052,32.26,travel,CA,16,tablet,66.76,1,25,0
TXN000175,CUST01364,17.73,electronics,US,18,desktop,270.11,1,22,0
TXN000176,CUST01355,69.89,online,AE,1,desktop,52.48,2,29,1
TXN000177,CUST01372,34.17,retail,US,4,mobile,652.76,4,43,0
TXN000178,CUST01497,66.03,electronics,NG,0,desktop,286.54,3,54,0
TXN000179,CUST01255,98.27,electronics,US,13,desktop,1471.07,4,58,0
TXN000180,CUST00190,66.13,travel,GB,22,tablet,110.64,7,26,0
TXN000181,CUST01249,43.52,grocery,IN,8,desktop,160.19,4,58,0
TXN000182,CUST01409,12.2,online,US,16,mobile,59.23,3,45,0
TXN000183,CUST01401,33.02,restaurant,DE,11,desktop,166.63,2,57,0
TXN000184,CUST01307,19.43,grocery,US,23,tablet,656.25,5,75,0
TXN000185,CUST00633,23.48,travel,AE,23,desktop,5.55,3,25,0
TXN000186,CUST00628,22.77,grocery,CA,22,mobile,61.47,1,19,0
TXN000187,CUST00973,12.43,electronics,IN,19,desktop,59.45,2,67,0
TXN000188,CUST01283,4.68,grocery,AE,11,desktop,726.87,2,70,0
TXN000189,CUST01383,16.98,grocery,US,14,desktop,25.62,1,39,0
TXN000190,CUST00710,40.18,entertainment,US,15,mobile,301.18,5,64,0
TXN000191,CUST01480,8.6,retail,CA,22,desktop,57.77,1,70,0
TXN000192,CUST01435,33.64,restaurant,US,17,desktop,354.68,2,47,0
TXN000193,CUST00649,221.47,online,US,21,mobile,120.41,1,33,0
TXN000194,CUST00318,92.12,restaurant,US,13,desktop,49.93,2,65,0
TXN000195,CUST01249,171.32,travel,CA,11,mobile,222.65,2,41,0
TXN000196,CUST01258,48.97,travel,US,10,tablet,331.65,0,44,0
TXN000197,CUST00684,106.43,restaurant,NG,14,tablet,114.33,4,50,0
TXN000198,CUST00664,16.06,fuel,ET,20,mobile,225.31,3,23,0
TXN000199,CUST01398,17.39,grocery,ET,20,tablet,36.07,8,47,0
TXN000200,CUST01496,2.14,grocery,US,7,mobile,499.39,6,59,0
TXN000201,CUST01257,108.43,fuel,US,16,desktop,18.26,4,43,0
TXN000202,CUST01137,154.52,fuel,US,7,mobile,45.17,2,31,0
TXN000203,CUST00442,19.05,travel,IN,3,mobile,61.23,5,48,0
TXN000204,CUST00564,25.69,travel,US,9,desktop,29.84,4,33,0
TXN000205,CUST01292,15.58,travel,US,5,desktop,93.96,3,38,0
TXN000206,CUST01410,48.55,travel,US,5,mobile,110.16,4,19,0
TXN000207,CUST01411,102.0,electronics,GB,16,mobile,131.59,3,25,0
TXN000208,CUST01137,5.8,travel,GB,7,mobile,7.5,1,24,0
TXN000209,CUST00952,49.87,online,US,12,desktop,44.52,4,43,0
TXN000210,CUST01105,25.11,fuel,US,14,mobile,296.82,3,38,0
TXN000211,CUST00699,37.09,fuel,GB,3,mobile,299.51,4,35,0
TXN000212,CUST00113,52.4,electronics,US,14,desktop,72.09,3,35,0
TXN000213,CUST00002,27.43,electronics,GB,22,tablet,111.31,3,18,0
TXN000214,CUST00642,29.86,electronics,ET,13,mobile,36.48,1,44,0
TXN000215,CUST00220,26.74,online,GB,10,desktop,310.82,0,25,0
TXN000216,CUST00855,87.38,travel,CA,19,desktop,565.06,4,45,0
TXN000217,CUST01249,50.34,retail,AE,16,mobile,61.99,3,55,0
TXN000218,CUST00385,41.29,fuel,NG,9,desktop,274.14,1,19,0
TXN000219,CUST01427,9.29,retail,US,5,desktop,78.2,3,39,0
TXN000220,CUST01154,22.68,fuel,US,5,mobile,0.47,3,37,1
TXN000221,CUST01077,81.34,retail,ET,0,mobile,164.81,5,31,0
TXN000222,CUST00730,34.39,online,US,4,desktop,95.1,2,52,0
TXN000223,CUST01440,64.04,retail,IN,3,mobile,255.71,4,48,0
TXN000224,CUST00247,193.74,grocery,US,10,mobile,248.65,1,58,0
TXN000225,CUST00836,93.56,grocery,IN,16,mobile,525.48,3,20,0
TXN000226,CUST01463,36.35,online,CA,6,mobile,103.67,4,25,0
TXN000227,CUST00203,19.87,retail,FR,19,mobile,118.58,3,43,0
TXN000228,CUST01208,2.58,electronics,US,2,mobile,92.07,2,41,0
TXN000229,CUST00123,27.98,restaurant,IN,1,mobile,63.42,1,32,0
TXN000230,CUST00401,23.9,online,US,7,mobile,182.82,6,54,0
TXN000231,CUST00767,48.93,online,US,4,mobile,316.89,2,55,0
TXN000232,CUST00294,28.39,restaurant,US,4,desktop,30.92,4,32,0
TXN000233,CUST00280,24.04,fuel,IN,9,desktop,721.53,3,70,0
TXN000234,CUST00884,5.59,retail,US,11,mobile,207.25,4,61,0
TXN000235,CUST00198,12.94,retail,GB,16,tablet,272.63,2,69,0
TXN000236,CUST00982,53.34,restaurant,GB,13,desktop,1218.96,3,52,0
TXN000237,CUST00752,184.18,restaurant,NG,4,desktop,126.22,2,73,1
TXN000238,CUST00144,30.04,electronics,GB,4,mobile,13.31,8,55,0
TXN000239,CUST00609,45.96,electronics,CA,23,mobile,281.17,4,34,0
TXN000240,CUST01225,85.84,grocery,DE,5,tablet,368.3,3,73,0
TXN000241,CUST01148,14.72,fuel,FR,14,mobile,31.9,3,69,0
TXN000242,CUST00187,47.79,electronics,US,4,desktop,4.4,5,48,1
TXN000243,CUST01350,15.79,retail,US,7,mobile,26.28,0,19,0
TXN000244,CUST00464,78.64,retail,US,0,tablet,70.47,2,22,0
TXN000245,CUST01373,38.53,grocery,US,20,mobile,464.53,4,19,0
TXN000246,CUST00660,44.63,retail,US,2,mobile,0.44,3,19,1
TXN000247,CUST00764,15.14,fuel,CA,20,desktop,293.15,2,43,0
TXN000248,CUST00955,67.16,online,IN,18,mobile,347.4,0,55,0
TXN000249,CUST00403,266.32,electronics,US,14,mobile,299.93,2,54,0
TXN000250,CUST01370,12.09,online,FR,3,mobile,15.44,2,27,0
TXN000251,CUST00147,23.58,restaurant,US,1,mobile,204.64,3,44,0
TXN000252,CUST01172,41.75,online,US,16,mobile,553.86,4,25,0
TXN000253,CUST00864,72.7,grocery,CA,11,desktop,23.08,4,27,0
TXN000254,CUST00489,18.92,online,IN,19,desktop,5.8,3,52,0
TXN000255,CUST00929,1.95,restaurant,US,7,tablet,372.38,2,41,0
TXN000256,CUST00551,128.92,grocery,US,4,mobile,186.38,5,41,0
TXN000257,CUST00338,70.85,online,US,9,mobile,187.14,4,48,0
TXN000258,CUST00872,5.8,online,US,18,desktop,600.53,2,21,0
TXN000259,CUST00641,18.04,electronics,CA,8,desktop,264.36,1,57,0
TXN000260,CUST00473,158.89,grocery,AE,15,desktop,91.18,2,31,0
TXN000261,CUST00151,140.86,retail,DE,0,mobile,103.04,3,53,0
TXN000262,CUST01439,84.66,online,US,14,tablet,28.13,3,43,0
TXN000263,CUST01322,27.77,grocery,NG,1,mobile,65.25,3,29,1
TXN000264,CUST00263,35.98,online,US,13,mobile,106.11,7,69,0
TXN000265,CUST00144,29.05,travel,FR,20,desktop,54.46,2,69,0
TXN000266,CUST00346,102.33,grocery,US,15,desktop,445.58,1,44,0
TXN000267,CUST00624,13.79,online,NG,9,mobile,2.14,3,23,1
TXN000268,CUST01017,14.79,entertainment,ET,11,desktop,159.19,1,44,0
TXN000269,CUST00881,90.95,fuel,NG,12,desktop,265.8,3,31,0
TXN000270,CUST00002,31.68,restaurant,US,19,desktop,237.09,1,61,0
TXN000271,CUST00897,131.43,retail,GB,8,mobile,185.77,2,39,0
TXN000272,CUST01328,16.92,electronics,DE,1,mobile,95.08,2,66,0
TXN000273,CUST00254,31.35,retail,FR,18,mobile,451.24,4,37,0
TXN000274,CUST00453,13.17,grocery,US,14,desktop,71.8,2,20,0
TXN000275,CUST01061,33.36,travel,US,14,mobile,249.63,2,26,0
TXN000276,CUST01184,7.55,online,US,23,mobile,470.25,4,33,0
TXN000277,CUST01015,20.34,restaurant,US,0,mobile,24.73,4,59,0
TXN000278,CUST00009,7.88,fuel,AE,17,mobile,529.02,4,26,0
TXN000279,CUST01257,66.28,online,AE,20,desktop,269.33,4,66,0
TXN000280,CUST01123,67.8,grocery,US,6,mobile,172.56,4,49,0
TXN000281,CUST00816,5.87,online,IN,9,desktop,84.14,1,51,0
TXN000282,CUST00208,125.7,travel,US,8,mobile,422.31,3,42,0
TXN000283,CUST01155,402.39,restaurant,US,18,mobile,8.11,3,44,0
TXN000284,CUST00404,34.67,retail,US,10,tablet,101.76,0,44,0
TXN000285,CUST00152,17.44,retail,AE,3,desktop,254.37,3,19,1
TXN000286,CUST00054,557.98,restaurant,FR,0,desktop,300.02,4,39,0
TXN000287,CUST01144,8.86,online,US,11,desktop,40.68,3,19,0
TXN000288,CUST00628,33.79,restaurant,GB,0,mobile,8.78,4,65,0
TXN000289,CUST00587,39.63,fuel,US,16,desktop,292.28,4,70,0
TXN000290,CUST01444,127.12,retail,US,19,mobile,98.64,4,72,0
TXN000291,CUST01446,47.45,electronics,US,8,desktop,27.89,1,18,0
TXN000292,CUST00104,20.11,entertainment,US,7,desktop,16.1,5,71,0
TXN000293,CUST00254,12.79,travel,NG,3,mobile,184.22,2,57,1
TXN000294,CUST01251,23.53,electronics,GB,7,desktop,157.36,7,56,0
TXN000295,CUST01136,12.1,retail,US,22,desktop,346.33,1,27,0
TXN000296,CUST00510,34.74,online,US,21,mobile,5.77,2,73,0
TXN000297,CUST01497,18.84,travel,US,9,mobile,365.08,2,29,0
TXN000298,CUST00099,7.43,fuel,US,17,tablet,392.85,1,54,0
TXN000299,CUST00153,116.18,restaurant,US,14,tablet,106.4,3,63,0
TXN000300,CUST00914,20.13,restaurant,US,18,desktop,14.36,5,34,0
TXN000301,CUST00878,9.32,retail,DE,19,mobile,527.87,1,20,0
TXN000302,CUST00338,27.99,fuel,US,22,mobile,13.46,4,38,0
TXN000303,CUST00822,35.46,entertainment,US,23,mobile,160.78,4,29,0
TXN000304,CUST01187,5.77,restaurant,IN,10,desktop,122.32,3,65,0
TXN000305,CUST00957,46.14,online,US,23,mobile,324.42,3,44,0
TXN000306,CUST00161,11.62,retail,US,3,tablet,125.71,1,32,0
TXN000307,CUST00801,183.28,restaurant,US,8,mobile,113.98,2,54,0
TXN000308,CUST00398,55.92,grocery,US,7,desktop,382.63,4,62,0
TXN000309,CUST01301,22.2,online,US,15,mobile,598.41,1,58,0
TXN000310,CUST00816,15.72,electronics,US,12,mobile,143.44,5,20,0
TXN000311,CUST01416,29.82,grocery,AE,4,desktop,109.16,5,22,1
TXN000312,CUST01159,61.12,retail,FR,12,desktop,320.12,2,51,0
TXN000313,CUST01219,32.28,retail,GB,18,desktop,320.11,1,51,0
TXN000314,CUST00401,26.65,online,US,1,mobile,69.26,5,38,0
TXN000315,CUST00640,35.11,fuel,US,11,mobile,154.54,1,30,0
TXN000316,CUST01057,18.1,retail,US,8,desktop,30.13,0,42,0
TXN000317,CUST00688,23.5,fuel,US,0,desktop,181.68,1,31,1
TXN000318,CUST00460,4.11,grocery,US,22,desktop,323.23,7,35,0
TXN000319,CUST00955,87.68,grocery,US,13,mobile,37.38,2,73,0
TXN000320,CUST00470,44.65,grocery,US,6,desktop,70.23,2,62,0
TXN000321,CUST01399,15.28,grocery,US,16,mobile,107.26,5,20,0
TXN000322,CUST01046,221.13,restaurant,US,22,mobile,335.67,2,20,0
TXN000323,CUST00750,36.13,electronics,US,13,mobile,236.6,6,62,0
TXN000324,CUST00038,11.75,restaurant,US,16,mobile,68.59,4,49,0
TXN000325,CUST00230,78.0,grocery,US,1,mobile,50.12,4,63,0
TXN000326,CUST01389,49.31,online,US,8,mobile,214.16,3,35,0
TXN000327,CUST00563,49.14,restaurant,US,14,mobile,117.67,4,49,0
TXN000328,CUST00438,21.63,entertainment,US,23,desktop,162.05,5,49,0
TXN000329,CUST01307,51.96,grocery,US,15,tablet,188.3,1,53,0
TXN000330,CUST00027,25.49,entertainment,US,8,mobile,147.24,3,61,0
TXN000331,CUST00226,57.74,retail,DE,3,mobile,170.91,2,46,0
TXN000332,CUST01301,4.93,fuel,US,14,mobile,393.27,0,56,0
TXN000333,CUST00798,21.46,fuel,US,20,mobile,364.76,0,54,0
TXN000334,CUST00284,185.33,retail,US,9,mobile,29.05,2,52,0
TXN000335,CUST00879,15.38,restaurant,US,6,mobile,158.96,2,44,0
TXN000336,CUST00960,18.1,retail,US,5,desktop,104.14,4,57,0
TXN000337,CUST00453,21.16,fuel,IN,14,desktop,60.52,3,41,0
TXN000338,CUST01020,9.83,fuel,AE,1,tablet,179.52,2,73,1
TXN000339,CUST00816,3.64,electronics,US,23,desktop,128.73,2,53,0
TXN000340,CUST00659,26.3,online,CA,14,mobile,268.42,5,52,0
TXN000341,CUST00547,37.93,online,US,17,desktop,17.66,3,57,0
TXN000342,CUST01216,31.42,online,US,13,mobile,64.89,1,23,0
TXN000343,CUST01073,28.65,fuel,DE,17,mobile,4.7,3,24,0
TXN000344,CUST00017,34.57,grocery,US,2,tablet,246.65,2,31,0
TXN000345,CUST01196,92.1,electronics,US,19,desktop,438.41,3,34,0
TXN000346,CUST01244,27.37,travel,GB,21,desktop,159.34,3,44,0
TXN000347,CUST00158,18.65,restaurant,CA,13,mobile,172.74,2,59,0
TXN000348,CUST00477,25.0,grocery,IN,5,desktop,8.56,2,61,0
TXN000349,CUST01070,59.11,grocery,ET,13,desktop,126.13,2,23,0
TXN000350,CUST01397,135.91,electronics,FR,1,mobile,134.71,4,20,0
TXN000351,CUST00518,17.67,travel,US,21,mobile,7.16,2,56,0
TXN000352,CUST00099,36.56,grocery,US,15,mobile,274.51,3,52,0
TXN000353,CUST01061,46.45,retail,DE,23,mobile,58.71,1,19,0
TXN000354,CUST00280,12.27,fuel,IN,15,desktop,231.36,3,36,0
TXN000355,CUST01373,33.8,fuel,US,20,mobile,92.83,5,59,0
TXN000356,CUST00497,7.65,grocery,IN,16,tablet,978.6,2,40,0
TXN000357,CUST00302,5.65,online,US,15,desktop,42.93,1,34,0
TXN000358,CUST00181,47.79,online,US,15,mobile,10.8,3,26,0
TXN000359,CUST00607,22.56,retail,US,7,mobile,703.32,3,57,0
TXN000360,CUST01123,40.54,fuel,US,5,mobile,50.31,5,26,0
TXN000361,CUST00700,32.53,online,ET,17,mobile,181.58,4,52,0
TXN000362,CUST00993,12.47,retail,US,22,mobile,84.48,2,26,0
TXN000363,CUST01140,31.65,grocery,NG,13,mobile,183.71,3,29,0
TXN000364,CUST00191,9.65,grocery,US,15,tablet,163.17,3,20,0
